tract,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
06037501002,5165,31508.94762613058,hisp,4252,36668.175645088275,0.8232333010648596,5.740533387747254e-4
06037501200,5036,65810.18283275283,white_nh,674,18708.252880147076,0.13383637807783955,6.911890187422365e-4
06037501200,5036,65810.18283275283,black_nh,36,621.2063820548591,0.007148530579825258,2.436166447058079e-5
06037501200,5036,65810.18283275283,asian_nh,278,15078.944207832521,0.055202541699761715,5.866576960945098e-4
06037501200,5036,65810.18283275283,hisp,4003,63338.66095102596,0.7948768864177919,8.579159965313594e-4
06037501300,7149,89817.72156576527,white_nh,1333,23281.75090769671,0.18645964470555323,3.9443846397522694e-4
06037501300,7149,89817.72156576527,black_nh,72,2078.6947644607862,0.010071338648762064,4.049417403100886e-5
06037501300,7149,89817.72156576527,asian_nh,350,12106.687853955524,0.048957896209260034,2.3267119006156896e-4
06037501300,7149,89817.72156576527,hisp,5298,122181.05893330624,0.741082668904742,0.0014254630073520357
06037501400,4021,64877.81894106669,white_nh,697,16142.127290028731,0.17333996518279035,8.778063453086515e-4
06037501400,4021,64877.81894106669,black_nh,113,10554.595763158137,0.028102462074110917,6.496209876450113e-4
06037501400,4021,64877.81894106669,asian_nh,128,4152.2158886189145,0.031832877393683165,2.5274379349254537e-4
06037501400,4021,64877.81894106669,hisp,3083,89090.45555750593,0.7667246953494156,0.0031512588282787183
06037501501,2538,13622.934008370212,white_nh,881,10805.886863572952,0.347123719464145,0.00142272340039054
06037501501,2538,13622.934008370212,black_nh,46,715.4405447104148,0.018124507486209612,1.1037361207297163e-4
06037501501,2538,13622.934008370212,asian_nh,224,4310.381463585887,0.08825847123719464,6.526898056506642e-4
06037501501,2538,13622.934008370212,hisp,1213,26740.69899575946,0.47793538219070136,0.003668264140239072
06037501503,5283,65810.18283275283,white_nh,1136,14341.700464703761,0.21502933939049781,4.048283203048774e-4
06037501503,5283,65810.18283275283,black_nh,29,269.39884147411794,0.005489305318947568,9.723432448526343e-6
06037501503,5283,65810.18283275283,asian_nh,75,887.2793119058397,0.014196479273140262,3.226584830012983e-5
06037501503,5283,65810.18283275283,hisp,3942,77517.391746196,0.7461669505962522,0.0014645806942804199
06037501504,3463,37605.34363134117,white_nh,442,3844.753836346671,0.12763499855616517,3.7168393827820365e-4
06037501504,3463,37605.34363134117,black_nh,28,816.3265306122448,0.008085475021657523,6.786549720034421e-5
06037501504,3463,37605.34363134117,asian_nh,252,3769.7360519581302,0.0727692751949177,2.9773949923996343e-4
06037501504,3463,37605.34363134117,hisp,2658,48694.672074352595,0.7675425931273462,0.0022131199142040904
06037501600,7898,69606.15663196017,white_nh,2625,25951.349303868225,0.33236262344897444,2.9276656765418236e-4
06037501600,7898,69606.15663196017,black_nh,110,3549.1172476233587,0.013927576601671309,5.6680116840313486e-5
06037501600,7898,69606.15663196017,asian_nh,685,14051.976607754917,0.08673081792858951,2.1687606427916846e-4
06037501600,7898,69606.15663196017,hisp,4301,57075.96936465849,0.5445682451253482,5.840794718763437e-4
