tract,baplus,total,baplus_se2,total_se2,baplus_share,baplus_share_se2
06065031701,243,1765,4146.672702580353,17082.251642168867,0.1376770538243626,0.0012271598730525602
06065031702,343,1660,3430.4930663981295,6635.563233894734,0.20662650602409638,0.0011421073180799797
06065031703,287,2397,3482.9685608965183,30439.112720688092,0.11973299958281185,6.821458635045044e-4
06065031704,670,3600,8475.161907225543,38078.362173298476,0.18611111111111112,5.521781260600599e-4
06065040101,254,2388,2154.4516403211355,11188.366700233737,0.10636515912897822,3.556082209884796e-4
06065040102,229,2858,3079.4246172891967,25951.349303868225,0.0801259622113366,3.5660554167284494e-4
06065040201,471,3948,8404.578671667852,47098.23449524671,0.11930091185410334,4.96207746876468e-4
06065040202,176,2088,1023.6416884544673,9818.46065723709,0.0842911877394636,2.18793003205157e-4
06065040203,97,2187,1795.9922764941196,25561.109006753446,0.04435299497027892,3.6498433617845633e-4
06065040204,84,1980,842.9338235973429,18048.983287294097,0.04242424242424243,2.067260913328614e-4
06065040301,177,4517,4064.6335492096337,61817.98024778042,0.03918529997786141,1.9456239622820458e-4
06065040302,1153,5231,37382.87709832688,51139.21711735849,0.2204167463200153,0.001275367919630818
06065040303,347,2261,6141.4805849909,26939.88414741179,0.1534719150818222,0.001077233609308752
06065040402,201,2708,3246.4592899178683,57075.96936465849,0.0742245199409158,4.8558278413497665e-4
06065040403,324,3581,4117.4785894439265,54208.29445404237,0.09047752024574142,3.5569195918791464e-4
06065040404,323,2076,3276.0229487901993,13340.601066139447,0.15558766859344894,6.852049959764295e-4
06065040405,784,3919,13759.296384918838,42971.147716669286,0.20005103342689462,7.838998183727837e-4
06065040501,526,4735,8960.375458467679,68329.00656867547,0.11108764519535375,3.620464892848667e-4
06065040502,292,3662,6644.062785820531,36435.731377204575,0.0797378481703987,4.781717522809726e-4
06065040503,486,3298,8407.535037555084,26344.545966870224,0.14736203759854458,7.203814835860878e-4
06065040603,188,1921,1474.1179405216137,28559.972653615547,0.09786569495054659,4.7358875106898624e-4
06065040604,499,3667,7332.526491809943,29179.700852726783,0.13607853831469865,5.05112759968347e-4
06065040605,233,1753,15680.934211620366,14487.671030385898,0.13291500285225327,0.00501950669501706
06065040606,117,1933,1780.4713555861456,18377.13990077697,0.060527677185721676,4.584905431964998e-4
06065040607,1253,5974,24764.737945880028,83378.75666337156,0.20974221627050552,5.911330693461694e-4
06065040609,3742,7757,74869.59654844282,116303.80354948681,0.4824029908469769,7.944722840654667e-4
06065040611,1662,4852,29380.733733058638,36435.731377204575,0.3425391591096455,0.0010664225506833078
06065040613,3046,7788,66332.7205033213,101468.3899816151,0.3911145351823318,8.377341431871847e-4
06065040615,1759,5801,43694.34872183368,104983.87856727117,0.3032235821410102,0.0010115909260628555
