stplfips,med_age,med_rent,agg_rent,med_homeval,agg_homeval
0654232,1959,2231,1769600,1221800,.
0639570,1972,759,610400,83900,134758300
0681722,1958,1021,22200,112900,.
0640088,1971,793,1751900,115500,180993000
0657240,1986,1459,157100,193600,.
0671106,1985,792,1759500,163700,.
0603274,1964,1426,1412900,661500,217240000
0686328,1978,1073,9903500,316500,3584906800
0600212,1987,1736,336100,497700,1205119600
0602462,1965,1481,12492200,994400,14357086500
0604870,1955,1066,6835100,352000,.
0611530,1965,1445,9104000,402500,6944358300
0615044,1955,1139,12521700,287300,3986837600
0619192,1980,1935,7413800,614800,8882456400
0621096,1958,1360,2939200,705200,2275393100
0684550,1969,1427,18250000,546200,7443551700
0646170,1964,876,2473900,161600,.
0677700,1976,1128,240500,531300,.
0649446,1978,1642,430900,837400,.
0636658,1983,-666666666,.,174400,.
0609066,1958,1961,12525900,1591600,9066375400
0665070,1959,2043,6938900,1240800,.
0673262,1966,1751,14282500,697400,9452150800
0621600,1999,1538,827100,-666666666,-666666666
0625534,1977,836,487000,154400,50663000
