stplfips,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
0643280,30527,887.2793119058397,hisp,1332,48694.672074352595,0.04363350476627248,5.225142339475184e-5
0643294,8490,355.1334522038784,white_nh,5386,47098.23449524671,0.6343934040047114,6.514323546293684e-4
0643294,8490,355.1334522038784,black_nh,50,2797.0916750584342,0.005889281507656066,3.880515367957045e-5
0643294,8490,355.1334522038784,asian_nh,2456,33927.62446762317,0.289281507656066,4.702810561326691e-4
0643294,8490,355.1334522038784,hisp,309,21108.821980580367,0.036395759717314485,2.928457584351605e-4
0644000,3949776,4390.572888277085,white_nh,1123131,11564134.10814756,0.28435308736495435,7.41233183788362e-7
0644000,3949776,4390.572888277085,black_nh,339659,7034587.263606212,0.08599449690311552,4.5091188630885264e-7
0644000,3949776,4390.572888277085,asian_nh,454122,7357450.13442226,0.11497411498778665,4.7160561607866083e-7
0644000,3949776,4390.572888277085,hisp,1922879,17340009.792962003,0.48683241783837866,1.111420343879675e-6
0644028,37559,310.78796389538155,white_nh,8748,206762.31742130985,0.2329135493490242,1.4655746178609223e-4
0644028,37559,310.78796389538155,black_nh,411,10805.886863572952,0.010942783354189408,7.660037204764922e-6
0644028,37559,310.78796389538155,asian_nh,990,32159.717667057765,0.026358529247317554,2.2797187433854813e-5
0644028,37559,310.78796389538155,hisp,26507,258892.28665662734,0.7057429644026731,1.8341350988689464e-4
0644042,483,35742.833122384305,white_nh,288,11840.614924104546,0.5962732919254659,0.10522865429353474
0644042,483,35742.833122384305,black_nh,0,53.21458597019614,0,2.2810585141260902e-4
0644042,483,35742.833122384305,asian_nh,0,53.21458597019614,0,2.2810585141260902e-4
0644042,483,35742.833122384305,hisp,195,27139.808390535938,0.40372670807453415,0.09136262831948824
0644112,30709,1038.0539721547286,white_nh,22273,170375.73562698052,0.7252922595981635,1.800869376731924e-4
0644112,30709,1038.0539721547286,black_nh,466,20062.26845649984,0.015174704484027484,2.127372368853841e-5
0644112,30709,1038.0539721547286,asian_nh,4366,102633.56768692085,0.14217330424305577,1.0881011783610693e-4
0644112,30709,1038.0539721547286,hisp,2280,68011.5667815338,0.07424533524373962,7.211322033913464e-5
0644140,1928,40732.8091942979,white_nh,1404,22728.540941048217,0.7282157676348547,0.011925445850974806
0644140,1928,40732.8091942979,black_nh,0,53.21458597019614,0,1.4315833160316018e-5
0644140,1928,40732.8091942979,asian_nh,14,147.81829436165592,0.007261410788381743,4.034399627617217e-5
0644140,1928,40732.8091942979,hisp,482,27541.874151199638,0.25,0.006724464965026218
0644168,788,8993.265028963146,white_nh,640,6054.637337053427,0.8121827411167513,0.019304417016749523
0644168,788,8993.265028963146,black_nh,0,53.21458597019614,0,8.56994929819696e-5
0644168,788,8993.265028963146,asian_nh,0,53.21458597019614,0,8.56994929819696e-5
0644168,788,8993.265028963146,hisp,93,1969.3092266331612,0.11802030456852793,0.002969742691823711
0644182,15714,161462.29247697268,white_nh,12151,137959.1836734694,0.773259513809342,1.6772374694748622e-4
0644182,15714,161462.29247697268,black_nh,28,505.9081124527675,0.0017818505791014382,2.046717242048844e-6
0644182,15714,161462.29247697268,asian_nh,517,26542.252935578937,0.03290059819269441,1.067812738977481e-4
0644182,15714,161462.29247697268,hisp,2326,65498.655777385655,0.14802087310678377,2.509255224412045e-4
0644242,1658,18874.918007039843,white_nh,1344,16452.54570818821,0.8106151990349819,0.0014732436268375265
0644242,1658,18874.918007039843,black_nh,0,53.21458597019614,0,1.935805124046591e-5
0644242,1658,18874.918007039843,asian_nh,9,62.45322936779963,0.005428226779252111,2.2921140844132923e-05
0644242,1658,18874.918007039843,hisp,228,10430.058850158443,0.13751507840772015,0.0036643356047137724
0644280,2055,27340.471725131883,white_nh,27,162.96966953372566,0.013138686131386862,3.9708341880101316e-5
0644280,2055,27340.471725131883,black_nh,0,53.21458597019614,0,1.2601058712699108e-5
0644280,2055,27340.471725131883,asian_nh,0,53.21458597019614,0,1.2601058712699108e-5
0644280,2055,27340.471725131883,hisp,2028,26542.252935578937,0.9868613138686131,0.012590266114523165
0644350,1443,44753.46680093495,white_nh,1219,28559.972653615547,0.8447678447678447,0.02905392703667797
0644350,1443,44753.46680093495,black_nh,0,53.21458597019614,0,2.555630281018079e-5
0644350,1443,44753.46680093495,asian_nh,0,53.21458597019614,0,2.555630281018079e-5
0644350,1443,44753.46680093495,hisp,204,28150.51597823375,0.14137214137214138,0.013089726303159362
0644364,1082,16296.966953372568,white_nh,854,15530.159551371476,0.789279112754159,0.0045935474817918424
0644364,1082,16296.966953372568,black_nh,2,5.912731774466237,0.0018484288354898336,5.098053379613461e-6
0644364,1082,16296.966953372568,asian_nh,0,53.21458597019614,0,4.5454424757838855e-5
0644364,1082,16296.966953372568,hisp,221,1658.8908084736836,0.20425138632162662,0.0019977192947274085
0644378,3448,27340.471725131883,white_nh,2082,9698.358293068246,0.6038283062645011,0.001654253487439831
0644378,3448,27340.471725131883,black_nh,5,23.650927097864948,0.0014501160092807424,1.994197150345868e-6
0644378,3448,27340.471725131883,asian_nh,1032,23096.60849400874,0.29930394431554525,0.0017367217727787291
0644378,3448,27340.471725131883,hisp,110,2134.4961705823116,0.031902552204176336,1.7719927934162317e-4
0644399,7054,62120.638205485906,white_nh,5764,61214.88160678485,0.8171250354408846,3.96659489581184e-4
0644399,7054,62120.638205485906,black_nh,10,72.4309642372114,0.001417635384179189,1.4581468669399891e-6
0644399,7054,62120.638205485906,asian_nh,546,7662.900379708242,0.07740289197618372,1.4652093173844698e-4
0644399,7054,62120.638205485906,hisp,611,12240.832956088729,0.08661752197334846,2.366363238195144e-4
0644406,3144,86568.30590996018,white_nh,1996,73179.29435241727,0.6348600508905853,0.0038734644765585006
0644406,3144,86568.30590996018,black_nh,57,1375.0796832993042,0.01812977099236641,1.4199000339992364e-4
0644406,3144,86568.30590996018,asian_nh,194,19379.347936549,0.06170483460559797,0.0019271875617746168
0644406,3144,86568.30590996018,hisp,593,18377.13990077697,0.18861323155216286,0.0015475857574534725
0644420,5472,149950.20371208692,white_nh,3845,115063.2385140566,0.7026681286549707,0.0013701615121550258
0644420,5472,149950.20371208692,black_nh,109,1915.7250949270606,0.019919590643274854,6.596660651069635e-5
0644420,5472,149950.20371208692,asian_nh,54,923.8643397603495,0.009868421052631578,3.134202051563075e-5
0644420,5472,149950.20371208692,hisp,1029,22912.20517179257,0.18804824561403508,9.422893232016098e-4
0644574,71350,1708.7794828207427,white_nh,1585,24029.711477166693,0.022214435879467413,4.720036541577095e-6
0644574,71350,1708.7794828207427,black_nh,5697,221958.407627424,0.0798458304134548,4.3597574566548225e-5
0644574,71350,1708.7794828207427,asian_nh,646,16923.716521465984,0.00905395935529082,3.3243304879848137e-6
0644574,71350,1708.7794828207427,hisp,62808,257039.75388253987,0.8802803083391731,5.023071063721739e-5
0644644,901,20757.014439999628,white_nh,616,10430.058850158443,0.683684794672586,0.024799679006607362
0644644,901,20757.014439999628,black_nh,0,53.21458597019614,0,6.555126930146199e-5
0644644,901,20757.014439999628,asian_nh,5,29.93320460823532,0.005549389567147614,3.766000769620001e-5
0644644,901,20757.014439999628,hisp,251,6936.0039171848,0.2785793562708102,0.006559643993088237
0644672,43,1077.5953658964718,white_nh,43,1077.5953658964718,1,0
0644672,43,1077.5953658964718,black_nh,0,53.21458597019614,0,0.028780197928716136
0644672,43,1077.5953658964718,asian_nh,0,53.21458597019614,0,0.028780197928716136
0644672,43,1077.5953658964718,hisp,0,53.21458597019614,0,0.028780197928716136
0644700,380,21821.306159403553,white_nh,259,10306.261028630557,0.6815789473684211,0.14157441677728463
0644700,380,21821.306159403553,black_nh,0,53.21458597019614,0,3.6852206350551344e-4
0644700,380,21821.306159403553,asian_nh,0,53.21458597019614,0,3.6852206350551344e-4
0644700,380,21821.306159403553,hisp,121,12784.804279339622,0.31842105263157894,0.07321536794035564
0644760,1060,36901.35900444379,white_nh,601,24789.497510185607,0.5669811320754717,0.011504900357690842
0644760,1060,36901.35900444379,black_nh,146,3769.7360519581302,0.13773584905660377,0.003978104120425991
0644760,1060,36901.35900444379,asian_nh,88,2733.160262747018,0.0830188679245283,0.0026588548557376934
0644760,1060,36901.35900444379,hisp,141,4152.2158886189145,0.1330188679245283,0.004276565721103979
0644770,27,505.9081124527675,white_nh,27,505.9081124527675,1,0
0644770,27,505.9081124527675,black_nh,0,53.21458597019614,0,0.07299668857365725
0644770,27,505.9081124527675,asian_nh,0,53.21458597019614,0,0.07299668857365725
0644770,27,505.9081124527675,hisp,0,53.21458597019614,0,0.07299668857365725
0644784,1108,16452.54570818821,white_nh,999,15078.944207832521,0.9016245487364621,0.0013881879985951694
0644784,1108,16452.54570818821,black_nh,1,1.4781829436165592,9.025270758122744e-4,1.2149777536871253e-6
0644784,1108,16452.54570818821,asian_nh,0,53.21458597019614,0,4.334621359769134e-5
0644784,1108,16452.54570818821,hisp,59,651.8786781349027,0.05324909747292419,5.689906345576152e-4
0644812,91,2365.0927097864947,white_nh,0,53.21458597019614,0,0.0064261062637599505
0644812,91,2365.0927097864947,black_nh,0,53.21458597019614,0,0.0064261062637599505
0644812,91,2365.0927097864947,asian_nh,0,53.21458597019614,0,0.0064261062637599505
0644812,91,2365.0927097864947,hisp,81,2545.800574643619,0.8901098901098901,0.08114333874305256
0644826,13930,748.3301152058832,white_nh,384,11317.338162064281,0.02756640344580043,5.8320365549785406e-05
0644826,13930,748.3301152058832,black_nh,124,961.1884590866678,0.00890165111270639,4.9531276620149525e-6
0644826,13930,748.3301152058832,asian_nh,10,119.73281843294129,7.178750897343862e-4,6.170346800406718e-7
0644826,13930,748.3301152058832,hisp,13324,13908.223316488205,0.9564967695620962,6.814704492716948e-5
0644830,15,230.96608494008737,white_nh,15,230.96608494008737,1,0
0644830,15,230.96608494008737,black_nh,0,53.21458597019614,0,0.23650927097864952
0644830,15,230.96608494008737,asian_nh,0,53.21458597019614,0,0.23650927097864952
0644830,15,230.96608494008737,hisp,0,53.21458597019614,0,0.23650927097864952
0644910,16963,309392.92874234344,white_nh,13364,321685.49810145877,0.7878323409774215,4.50580523177353e-4
0644910,16963,309392.92874234344,black_nh,54,651.8786781349027,0.0031833991628839237,2.2763828674981673e-6
0644910,16963,309392.92874234344,asian_nh,156,2248.3162572407864,0.009196486470553558,7.904554966907028e-6
0644910,16963,309392.92874234344,hisp,1796,95742.27880378044,0.10587749808406532,3.2068148292754123e-4
0644924,145,1375.0796832993042,white_nh,101,621.2063820548591,0.696551724137931,0.06127816702451131
0644924,145,1375.0796832993042,black_nh,2,3.3259116231372587,0.013793103448275862,1.7063115929235047e-4
0644924,145,1375.0796832993042,asian_nh,0,53.21458597019614,0,0.0025310147904968436
0644924,145,1375.0796832993042,hisp,42,715.4405447104148,0.2896551724137931,0.028540841654044708
0645006,4363,101081.47559612348,white_nh,2480,50045.36173908223,0.568416227366491,0.004344688361224899
