stplfips,agecat,total,total_se2,age_ct,age_ct_se2,age_share,age_share_se2
0625436,under18,6200,505.9081124527675,1911,21821.306159403553,0.3082258064516129,5.6642152175447e-4
0625436,over65,6200,505.9081124527675,679,10932.641050988072,0.10951612903225806,2.8425008582500297e-4
0625488,under18,7471,252132.18650973288,2425,111787.58511100229,0.3245884085129166,0.0015268700197108348
0625488,over65,7471,252132.18650973288,750,20234.846315167084,0.10038816758131441,4.080522602579656e-4
0625506,under18,99,2669.9679419074105,8,72.4309642372114,0.08080808080808081,0.009169034845053992
0625506,over65,99,2669.9679419074105,12,62.45322936779963,0.12121212121212122,0.010374595295981622
0625534,under18,2440,123459.31763379864,711,63033.04662743322,0.2913934426229508,0.008826608922320376
0625534,over65,2440,123459.31763379864,370,9698.358293068246,0.15163934426229508,0.002105825454803939
0625576,under18,3183,85498.47100451769,724,13200.54323223178,0.2274583726044612,0.0017395275501478076
0625576,over65,3183,85498.47100451769,392,6936.0039171848,0.12315425699026077,8.125909971102986e-4
0625590,under18,32,533.6240426455779,0,53.21458597019614,0,0.05196736911151967
0625590,over65,32,533.6240426455779,10,83.14779057843147,0.3125,0.1320893686455456
0626000,under18,230964,2993.320460823533,54210,261372.67763601593,0.23471190315373824,4.896632578554365e-6
0626000,over65,230964,2993.320460823533,27209,247271.92099112167,0.1178062382016245,4.634610588246213e-6
0626028,under18,3710,83730.19465821638,465,12375.717149693739,0.12533692722371967,8.035665686535504e-4
0626028,over65,3710,83730.19465821638,251,3997.0066795391763,0.06765498652291105,3.1823775562533853e-4
0626056,under18,474,3621.9177575964745,70,452.69352648257126,0.14767932489451477,0.0023664503270204628
0626056,over65,474,3621.9177575964745,72,162.96966953372566,0.1518987341772152,0.0010973089893744552
0626067,under18,31353,739913.7110706663,10599,274588.74178915564,0.3380537747583963,1.933154522990341e-4
0626067,over65,31353,739913.7110706663,2497,22728.540941048217,0.07964150161069117,2.789557129452864e-5
0627000,under18,519037,5058.711578791771,150783,1050469.230698164,0.2905053011635009,3.897715735299457e-6
0627000,over65,519037,5058.711578791771,54212,391290.1765504753,0.10444727447176212,1.4522488883970382e-6
0627014,under18,552,12647.702811319186,115,3060.208239022182,0.20833333333333334,0.008241646990204002
0627014,over65,552,12647.702811319186,145,1810.774105930285,0.26268115942028986,0.008806852549923016
0627080,under18,888,16608.863554475658,119,2424.5895732670615,0.134009009009009,0.0026965149912437495
0627080,over65,888,16608.863554475658,102,748.3301152058832,0.11486486486486487,0.0012269022623745322
0627130,under18,6074,256423.72114078765,1660,81285.6496152105,0.2732960158050708,0.0016841237525069923
0627130,over65,6074,256423.72114078765,719,11188.366700233737,0.11837339479749753,4.006519392161583e-4
0627190,under18,872,23654.25300948809,350,6734.971036852948,0.4013761467889908,0.013868963173583262
0627190,over65,872,23654.25300948809,63,683.2900656867545,0.07224770642201835,0.0010609887969384596
0628000,under18,139976,3844.753836346671,30701,323757.54104267334,0.21933045664971138,1.6514467020428607e-5
0628000,over65,139976,3844.753836346671,17730,211208.69171570847,0.12666457106932616,1.0776500953909607e-5
0628014,under18,493,30016.35239881376,159,6635.563233894734,0.3225152129817444,0.04014723789924369
0628014,over65,493,30016.35239881376,53,961.1884590866678,0.1075050709939148,0.005382032668336452
0628021,under18,139,851.4333755231382,6,18.10774105930285,0.04316546762589928,0.001019314774762772
0628021,over65,139,851.4333755231382,15,72.4309642372114,0.1079136690647482,0.004262005713292044
0628112,under18,25222,781.9587771731599,7002,61817.98024778042,0.27761478074696694,9.70805379559741e-5
0628112,over65,25222,781.9587771731599,3024,32597.25981836827,0.1198953294742685,5.122385588810724e-5
0628154,under18,979,21642.076477490045,260,5145.554826729243,0.26557711950970375,0.0069613013110256345
0628154,over65,979,21642.076477490045,168,1810.774105930285,0.17160367722165476,0.0025542376865438574
0628168,under18,60096,1077.5953658964718,12623,194778.68829741038,0.21004725772097976,5.391930489951028e-5
0628168,over65,60096,1077.5953658964718,9835,92017.25778586674,0.16365481895633652,2.5470760765179394e-5
0628182,under18,10931,191040.73317874002,3219,74169.30737890447,0.29448357881255144,4.8207972211879776e-4
0628182,over65,10931,191040.73317874002,880,8094.52979924428,0.08050498582014454,7.810635076824335e-5
0628210,under18,279,7769.69909738454,44,1708.7794828207427,0.15770609318996415,0.019469658030089848
0628210,over65,279,7769.69909738454,90,1420.5338088155136,0.3225806451612903,0.028635748201654623
0629000,under18,174812,3844.753836346671,39037,290091.92450180615,0.22330846852618813,9.486500436268383e-6
0629000,over65,174812,3844.753836346671,23097,259511.27576426676,0.13212479692469625,8.489877286596773e-6
0629070,under18,137,11840.614924104546,5,23.650927097864948,0.0364963503649635,0.0021004012931873503
0629070,over65,137,11840.614924104546,3,5.912731774466237,0.021897810218978103,6.175328197077562e-4
0629112,under18,5831,359270.8862630611,1977,96496.15210502491,0.33904990567655635,0.004052758977337456
0629112,over65,5831,359270.8862630611,594,12784.804279339622,0.10186931915623393,4.8567101441829796e-4
0629154,under18,955,52244.89795918367,166,4074.241738343142,0.17382198952879582,0.006198046628260189
0629154,over65,955,52244.89795918367,243,3127.8351086926396,0.2544502617801047,0.007138431149097948
0629252,under18,42,178.8601361776037,0,53.21458597019614,0,0.030166998849317533
0629252,over65,42,178.8601361776037,17,83.14779057843147,0.40476190476190477,0.030524229624303154
0629350,under18,2393,99157.99004074243,645,33704.04929740117,0.2695361470956958,0.004627692945199568
0629350,over65,2393,99157.99004074243,367,5321.458597019614,0.15336397826995404,0.001336553434174297
0629392,under18,1280,62728.1713953123,278,10554.595763158137,0.2171875,0.008247991538224225
0629392,over65,1280,62728.1713953123,166,3127.8351086926396,0.1296875,0.002553009440396446
0629420,under18,929,18542.326844726118,160,2733.160262747018,0.1722282023681378,0.003804191258971519
0629420,over65,929,18542.326844726118,117,781.9587771731599,0.12594187298170076,0.0012468297712931668
0629504,under18,54159,961.1884590866678,15837,161951.20148557384,0.2924167728355398,5.518517750086935e-5
0629504,over65,54159,961.1884590866678,5296,51414.52869060707,0.09778614819328274,1.7525359788733053e-5
0630000,under18,199750,781.9587771731599,35793,461078.14968450036,0.17918898623279098,1.1555195985228142e-5
0630000,over65,199750,781.9587771731599,32899,314144.91736033483,0.1647008760951189,7.872762245685862e-6
0630014,under18,51891,2248.3162572407864,11712,108960.19068559972,0.2257038792854252,4.042285860869241e-5
0630014,over65,51891,2248.3162572407864,8220,97632.50524293011,0.1584089726542175,3.6237591024746144e-5
0630028,under18,768,17241.52585434355,39,1375.0796832993042,0.05078125,0.002255958304619394
0630028,over65,768,17241.52585434355,323,17241.52585434355,0.4205729166666667,0.02406110560111736
0630282,under18,8889,191040.73317874002,2345,60017.55342245545,0.2638092023849702,5.913107471950832e-4
0630282,over65,8889,191040.73317874002,1382,13340.601066139447,0.15547305658679267,2.2728048357540948e-4
0630339,under18,0,53.21458597019614,0,53.21458597019614,NaN,.
0630339,over65,0,53.21458597019614,0,53.21458597019614,NaN,.
0630345,under18,7460,38078.362173298476,1140,7877.236906532645,0.15281501340482573,1.2556718375149494e-4
0630345,over65,7460,38078.362173298476,2071,10183.202298574475,0.27761394101876674,2.357143845196157e-4
0630378,under18,30847,781.9587771731599,6432,83028.05775999851,0.20851298343436964,8.722101646643603e-5
0630378,over65,30847,781.9587771731599,4843,53925.59196607569,0.15700068077933024,5.665181083492388e-5
0630392,under18,8462,378.41483356583916,3032,32378.11919697712,0.3583077286693453,4.514955123364997e-4
0630392,over65,8462,378.41483356583916,520,8764.146672702582,0.06145119357125975,1.2237502059191674e-4
0630410,under18,9369,462730.7582154636,2846,113829.32530187267,0.3037677446899349,0.001783219555432916
0630410,over65,9369,462730.7582154636,700,7451.5202187710765,0.07471448393638595,1.1431773896000688e-4
0630420,under18,33,310.78796389538155,0,53.21458597019614,0,0.04886555185509288
0630420,over65,33,310.78796389538155,17,332.5911623137259,0.5151515151515151,0.22967301716883523
0630476,under18,3561,141595.5137147661,1340,39757.20845151098,0.37629879247402415,0.0047163914268283464
0630476,over65,3561,141595.5137147661,114,3549.1172476233587,0.03201347935973041,2.913267495494625e-4
0630560,under18,713,14487.671030385898,75,2023.63244981107,0.10518934081346423,0.003665308672954242
0630560,over65,713,14487.671030385898,283,4553.173012074907,0.39691444600280507,0.01344609194479001
0630658,under18,12439,452.69352648257126,2458,34151.938729316986,0.19760430902805692,2.2060715021108174e-4
0630658,over65,12439,452.69352648257126,1855,29596.54844282666,0.14912774338773213,1.912151846297095e-4
0630686,under18,547,18048.983287294097,218,6341.774373850943,0.39853747714808047,0.030776255612960608
0630686,over65,547,18048.983287294097,22,212.85834388078456,0.04021937842778794,8.089808474615069e-4
0630693,under18,22479,362191.7757596474,5510,89453.71901589971,0.2451176653765737,1.339630738704123e-4
0630693,over65,22479,362191.7757596474,3722,33704.04929740117,0.16557676053205214,8.63512910215431e-5
0630703,under18,2873,94243.40129895325,469,17082.251642168867,0.16324399582318133,0.0017652736870948913
0630703,over65,2873,94243.40129895325,713,8650.696131780009,0.24817264183780022,0.0017512586960779315
0630714,under18,0,53.21458597019614,0,53.21458597019614,NaN,.
0630714,over65,0,53.21458597019614,0,53.21458597019614,NaN,.
0630798,under18,12893,310.78796389538155,2447,54775.91670439113,0.1897929108818739,3.294525851593969e-4
0630798,over65,12893,310.78796389538155,3423,51139.21711735849,0.26549290312572715,3.075105588977602e-4
0630812,under18,1827,39515.15599449377,377,6936.0039171848,0.20634920634920634,0.002582007903796454
0630812,over65,1827,39515.15599449377,408,10805.886863572952,0.2233169129720854,0.0026469252355093434
0630882,under18,1083,46309.99344056319,370,13908.223316488205,0.34164358264081257,0.016466640392446264
0630882,over65,1083,46309.99344056319,55,355.1334522038784,0.050784856879039705,4.046176871537738e-4
0630900,under18,593,7985.513807152557,19,289.7238569488456,0.03204047217537943,8.005880679276629e-4
