tract,agg_rent
06037109500,562200
06037109601,518200
06037109603,746100
06037109604,267000
06037109700,418100
06037109800,361200
06037111100,340500
06037111201,161200
06037111202,977700
06037111204,183300
06037111205,1335300
06037111206,262000
06037111301,2637800
06037111302,1542500
06037111400,2520800
06037113101,679100
06037113102,131600
06037113211,494100
06037113212,766700
06037113213,1044900
06037113231,282100
06037113232,565900
06037113233,2513900
06037113234,858500
06037113235,400800
06037113237,1086100
06037113301,815300
06037113303,163600
06037113321,2769100
06037113322,518400
06037113401,740200
06037113421,2356700
06037113422,1460800
06037115101,217600
06037115103,85500
06037115104,2273800
06037115201,3089900
06037115202,1788000
06037115301,1201400
06037115302,1007700
06037115401,1608500
06037115403,852300
06037115404,586400
06037117101,673300
06037117102,416600
06037117201,953900
06037117202,211700
06037117301,282100
06037117302,743400
06037117303,210600
06037117404,599800
06037117405,977900
06037117407,1044600
06037117408,770600
06037117510,1090000
06037117520,962300
06037117530,1444400
06037119001,454600
06037119002,835500
06037119201,254600
06037119202,398200
06037119310,873700
06037119320,1387900
06037119340,1092700
06037119341,605400
06037119342,645900
06037119400,306300
06037119700,235400
06037119800,417500
06037119900,448000
06037120010,503700
06037120020,1021000
06037120030,645500
06037120103,934300
06037120104,749800
06037120105,588600
06037120106,1169300
06037120107,1040700
06037120108,1004900
06037120300,452900
06037120400,1739500
06037121010,676000
06037121020,701100
06037121101,577500
06037121102,398400
06037121210,336100
06037121221,342200
06037121222,1144100
06037121600,248600
06037121801,1044200
06037121802,258000
06037121900,451800
06037122000,996600
06037122120,703600
06037122121,436500
06037122122,550500
06037122200,638300
06037122410,1111600
06037122420,1162700
06037123010,831800
06037123020,461400
06037123103,1348500
06037123104,1428100
06037123203,1183400
06037123204,1032300
06037123205,697300
06037123206,756100
06037123301,1340300
06037123303,939300
06037123304,1625100
06037123410,1126300
06037123420,1180900
06037123510,1267100
06037123520,579600
06037123601,1584100
06037123602,1195900
06037123700,827100
06037123800,2255000
06037123901,1411000
06037123902,1165300
06037124000,1482700
06037124102,1503800
06037124103,502100
06037124104,1049900
06037124105,936700
06037124201,933700
06037124203,668500
06037124204,1060700
06037124300,1089100
06037124400,1190700
06037124500,1035800
06037124600,1440300
06037124700,2033400
06037124902,1784200
06037124903,1932100
06037125100,2782600
06037125200,1319600
06037125310,2313700
06037125320,4027300
06037125401,3682500
06037125402,2276900
06037125501,1833600
06037125502,2040200
06037125600,986800
06037127102,1400500
06037127103,990800
06037127104,1102500
06037127210,1614400
06037127220,1438000
06037127300,1489200
06037127400,1731000
06037127520,1341900
06037127603,939000
06037127604,1086000
06037127605,1316900
06037127606,1027100
06037127711,1015600
06037127712,1108400
06037127803,1471500
06037127804,1569100
06037127805,1024700
06037127806,998000
06037127910,1614100
06037127920,1025200
06037128101,1186600
06037128102,1388800
06037128210,1712700
06037128220,1068900
06037128302,1488500
06037128303,1373500
06037128400,1180300
06037128500,2136300
06037128601,1663000
06037128602,1083700
06037128702,2953000
06037128801,1894400
06037128802,2286800
06037128910,1618700
06037131010,2044900
06037131020,1044100
06037131100,374300
06037131200,697900
06037131300,715200
06037131400,1410500
06037131600,710000
06037131701,1342800
06037131702,544100
06037131800,1305100
06037131900,741900
06037132001,487400
06037132002,879300
06037132101,1347000
06037132102,1330700
06037132300,1948500
06037132501,890400
06037132502,869100
06037132700,935200
06037132900,911200
06037133000,555900
06037133100,1732100
06037134001,865300
06037134002,708000
06037134101,839900
06037134103,631100
06037134104,1096900
06037134201,492600
06037134302,313800
06037134303,786200
06037134304,765300
06037134305,1394200
06037134306,1331900
06037134421,365600
06037134422,597900
06037134423,468200
06037134424,88100
06037134520,1797600
06037134521,771800
06037134522,1254000
06037134710,1478800
06037134720,1294100
06037134800,912300
06037134901,445900
06037134903,4196400
06037134904,1060200
06037134905,3763700
06037135102,535500
06037135111,700100
06037135113,2406400
06037135114,3426900
06037135201,377700
06037135202,585000
06037135203,814300
06037137000,686300
06037137103,2297800
06037137104,825200
06037137201,2493800
06037137301,150400
06037137302,586100
06037137401,933600
06037137402,748200
06037137501,1978500
06037137502,1459700
06037137504,.
06037138000,638400
06037139001,1479700
06037139200,1428200
